# Exact English source<TAB>Simplified Chinese translation.
# Keep application data, terminal content, model output, and user-authored text out of this catalog.
+ Add rule	+ 添加规则
Copy to Personal	复制到个人空间
Create agent	创建智能体
Create team	创建团队
Customizable in appearance settings.	可在外观设置中自定义。
Discard this version	放弃此版本
Do not show again	不再显示
Done	完成
ESC	ESC
Edit API Keys	编辑 API 密钥
Edit config	编辑配置
Empty trash	清空废纸篓
Enter custom Docker image name:	输入自定义 Docker 镜像名称：
First, set up an environment to create an integration.	请先设置环境，然后创建集成。
Help	帮助
I'm looking for...	我正在查找...
Includes other request context and temporary instructions added to help the agent better respond.	包括其他请求上下文和为帮助智能体更好响应而添加的临时指令。
Install nvm to enable version switching	安装 nvm 以启用版本切换
Introducing universal agent support: level up any coding agent with Warp	推出通用智能体支持：用 Warp 增强任意编码智能体
Invite	邀请
Kick off an agent task to view usage history here.	启动智能体任务后，可在此查看使用记录。
Link SSO	关联 SSO
Make default	设为默认
Manage billing	管理账单
Manage privacy settings	管理隐私设置
Manage shared blocks	管理共享区块
Manual setup: Create a Slack or Linear integration with the Oz CLI	手动设置：使用 Oz CLI 创建 Slack 或 Linear 集成
Meet your new agent inbox	认识全新的智能体收件箱
Missing a repo?	缺少某个仓库？
No URLs fetched	未获取任何 URL
No URLs found	未找到 URL
No images	没有图片
Open	打开
OpenAI base URL (optional, press Enter to skip):	OpenAI 基础 URL（可选，按 Enter 跳过）：
Or	或者
Or, supply your own existing docker image.	或者，提供你现有的 Docker 镜像。
Orchestrate any agent, anywhere	随时随地编排任意智能体
Overwrite	覆盖
Preparing...	正在准备...
Premium or SuperGrok subscription	Premium 或 SuperGrok 订阅
Provide your endpoint details below. You can add as many models from the endpoint as you'd like and can also provide aliases for the model picker in your input.	请在下方提供端点详情。你可以从该端点添加任意数量的模型，也可以为输入框中的模型选择器设置别名。
Quick start: Visit oz.warp.dev for a UI-based setup experience.	快速开始：访问 oz.warp.dev，通过图形界面完成设置。
Re-generate AGENTS.md file	重新生成 AGENTS.md 文件
Remote host disconnected. You will not be able to see updates and save changes.	远程主机已断开连接。你将无法查看更新或保存更改。
Request edit access	申请编辑权限
Reset to Warp defaults	恢复 Warp 默认值
Reset to default	恢复默认值
Restart server	重启服务器
Rewinding does not affect files edited manually or via shell commands.	回退不会影响手动编辑或通过 Shell 命令编辑的文件。
Run Connection Lost	运行连接已断开
Run your agent task in an isolated cloud environment.	在隔离的云端环境中运行智能体任务。
Select a git repository to enable worktree support	选择 Git 仓库以启用工作树支持
Send Feedback	发送反馈
Set up	设置
Set up a reusable starting point for your tabs. Pick a repo, choose a session type, and optionally attach a worktree. Use it whenever you want to open a tab with this setup.	为标签页设置可复用的起点：选择仓库和会话类型，并可按需关联工作树。以后可随时使用此配置打开标签页。
Sign up	注册
Skip	跳过
Skip for now	暂时跳过
Staging IAP credentials	预发布 IAP 凭据
Start Oz cloud agents directly in Warp from an integration (Linear, Slack), with an event (GitHub, built-in schedule), or programmatically with the Oz SDK or CLI.	可通过集成（Linear、Slack）、事件（GitHub、内置计划）或 Oz SDK/CLI，以编程方式直接在 Warp 中启动 Oz 云端智能体。
Switch	切换
The AWS CLI is required to authenticate with your organization's AWS Bedrock. Install it to continue.	需要 AWS CLI 才能通过你所在组织的 AWS Bedrock 进行身份验证。请安装后继续。
The agent may use web search when helpful for completing tasks.	智能体可在有助于完成任务时使用网页搜索。
The base model's working memory — how many tokens of your conversation, code, and documents it can consider at once. Larger windows enable longer conversations and more coherent responses over bigger codebases, at the cost of higher latency and compute usage.	基础模型的工作记忆，即一次可处理的对话、代码和文档 token 数。更大的窗口支持更长对话和更大型代码库中的连贯响应，但会增加延迟和计算用量。
The output from Warp's initialization script is visible above to assist with debugging.	上方显示了 Warp 初始化脚本的输出，以便进行调试。
The plans this agent creates will be automatically added and synced to Warp Drive.	此智能体创建的计划将自动添加并同步到 Warp 云盘。
This file has saved changes that are not reflected here.	此文件包含尚未在此处反映的已保存更改。
This is an automated agent on your team.	这是团队中的自动化智能体。
This menu helps you switch between Node.js versions — but it requires nvm to be installed.	此菜单可帮助你切换 Node.js 版本，但需要先安装 nvm。
This secret key is shown only once. Copy and store it securely.	此密钥只显示一次。请复制并妥善保存。
This suggestion is being edited in another tab.	此建议正在另一个标签页中编辑。
To use AI features, please create an account.	请创建账户后使用 AI 功能。
To use Warp Drive, please create an account.	请创建账户后使用 Warp 云盘。
Toast notifications stay visible for	浮动通知保持显示
Toggle Focus Reporting	切换焦点报告
Toggle Mouse Reporting	切换鼠标报告
Toggle Scroll Reporting	切换滚动报告
Transfer	转移
Try installing versions with nvm	尝试使用 nvm 安装版本
Type owner/repo and press Enter to add, or select from dropdown.	输入 owner/repo 并按 Enter 添加，或从下拉列表中选择。
Unshare	取消共享
Use your	使用你的
View index status	查看索引状态
View logs	查看日志
View pricing	查看价格
Warp	Warp
Warp will prevent use of premium models when this dollar limit is reached. Resets on a monthly basis.	达到此美元上限后，Warp 将禁止使用高级模型。该上限每月重置。
We've made major improvements to Warp's cloud agent orchestration platform, Oz.	我们对 Warp 的云端智能体编排平台 Oz 进行了重大改进。
Window positions won't be restored on Wayland. 	在 Wayland 上不会恢复窗口位置。 
You're viewing a snapshot	你正在查看快照
You, our community, can participate in building Warp using an agent-first workflow.	你和整个社区都可以使用智能体优先的工作流参与构建 Warp。
Your Warp admin has enabled AWS Bedrock for your team.	你的 Warp 管理员已为团队启用 AWS Bedrock。
Your credentials are encrypted end-to-end. 	你的凭据已进行端到端加密。 
Your organization disallows AI when the active pane contains content from a remote session	当活动窗格包含远程会话内容时，你所在的组织禁止使用 AI
Your profile is set to always ask for permission to execute commands.	你的配置设为在执行命令前始终请求许可。
ZDR	ZDR
 + Add new repo	 + 添加新仓库
(no arguments)	（无参数）
 · Check now	 · 立即检查
JSON	JSON
Note that AI credits made near your chosen limit may exceed it by a few dollars.	请注意，接近所选上限时产生的 AI 额度费用可能会超出几美元。
Already have an account? 	已有账号？
Conversation history	对话历史
Customize your Warp	定制你的 Warp
Disabled	已禁用
Enabled	已启用
Global file search	全局文件搜索
Horizontal	水平
Log in	登录
Tab styling	标签页样式
Tailor your features and UI to your working style.	根据你的工作方式调整功能与界面。
Tools panel	工具面板
Vertical	垂直
A modern terminal with state of the art agents built in.	内置先进智能体能力的现代终端。
A modern terminal optimized for speed, context, and control without AI.	一个专注于速度、上下文与操控体验的现代终端，不含 AI 功能。
Agentic control of long-running commands and TUIs	以智能体方式控制长时间运行的命令和 TUI
Automatically diagnose and fix terminal errors	自动诊断并修复终端错误
Back	返回
Build faster with agents	使用智能体加速构建
Get AI features to accelerate terminal and agent-driven workflows:	启用 AI 功能，加速终端与智能体驱动的工作流：
Hand off agent work to cloud agents	将智能体任务交给云端智能体
How do you want to work?	你希望如何使用？
Just use the terminal	仅使用终端
No AI features	不含 AI 功能
Remote control for Claude Code, Codex, and other agents	远程控制 Claude Code、Codex 及其他智能体
Review code diffs and send comments directly to agents	审查代码差异并将评论直接发送给智能体
Use frontier and open-weight models with Warp Agent	通过 Warp Agent 使用前沿模型与开放权重模型
Welcome to Warp	欢迎使用 Warp
seconds	秒
seconds to complete	秒完成
to cycle parameters	切换参数
to send	发送
•	•
⋮	⋮
About	关于
Account	账户
Agents	智能体
Appearance	外观
Billing and usage	账单与用量
Cloud platform	云平台
Code	代码
Features	功能
Keyboard shortcuts	键盘快捷键
Privacy	隐私
Referrals	推荐奖励
Shared blocks	共享区块
Scripting	脚本
Teams	团队
Warpify	Warp 化
Copy	复制
Cut	剪切
Select all	全选
Copy URL	复制 URL
Copy command	复制命令
Copy commands	复制命令
Copy filtered output	复制筛选后的输出
Copy git branch	复制 Git 分支
Copy output	复制输出
Copy path	复制路径
Copy prompt	复制提示符
Copy right prompt	复制右侧提示符
Copy working directory	复制工作目录
Copy agent resume command	复制 Agent 恢复命令
Copy agent session ID	复制 Agent 会话 ID
Close all tabs in group	关闭组内所有标签页
Close other tabs	关闭其他标签页
Close tab	关闭标签页
Close tabs above	关闭上方标签页
Close tabs below	关闭下方标签页
Close tabs to the left	关闭左侧标签页
Close tabs to the right	关闭右侧标签页
Close Tabs Below	关闭下方标签页
Close Tabs to the Right	关闭右侧标签页
Copy branch	复制分支
Copy pane title	复制窗格标题
Copy pull request link	复制拉取请求链接
Copy tab title	复制标签页标题
Create group from tabs	将所选标签页新建为组
Move group down	下移组
Move group left	左移组
Move group right	右移组
Move group up	上移组
Move Tab Down	下移标签页
Move Tab Left	左移标签页
Move Tab Right	右移标签页
Move Tab Up	上移标签页
Move to group	移动到组
New group with tab	用此标签页新建组
New tab in group	在组中新建标签页
Pin group	固定组
Pin tab	固定标签页
Remove from group	从组中移除
Rename active pane	重命名活动窗格
Rename pane	重命名窗格
Rename tab	重命名标签页
Reset active pane name	重置活动窗格名称
Reset pane name	重置窗格名称
Reset tab name	重置标签页名称
Save as new config	另存为新配置
Share session	共享会话
Stop sharing all	停止全部共享
Ungroup tabs	取消标签页分组
Unpin group	取消固定组
Unpin tab	取消固定标签页
Insert into input	插入到输入框
Open in editor	在编辑器中打开
Open link	打开链接
Show containing folder	显示所在文件夹
Show in Finder	在访达中显示
Find within block	在区块中查找
Find within blocks	在多个区块中查找
Save as workflow	另存为工作流
Scroll to top of block	滚动到区块顶部
Scroll to top of blocks	滚动到多个区块顶部
Scroll to bottom of block	滚动到区块底部
Scroll to bottom of blocks	滚动到多个区块底部
Toggle block filter	切换区块筛选
Toggle bookmark	切换书签
Clear Blocks	清除区块
Close pane	关闭窗格
Split pane down	向下拆分窗格
Split pane left	向左拆分窗格
Split pane right	向右拆分窗格
Split pane up	向上拆分窗格
Command search	命令搜索
Share...	共享…
Share block...	共享区块…
Settings search	搜索设置
Search settings	搜索设置
General	通用
Terminal	终端
Text	文本
Cursor	光标
Theme	主题
Font	字体
Font size	字体大小
Line height	行高
Input	输入
Working directory	工作目录
Startup	启动
Notifications	通知
Updates	更新
Language	语言
Advanced	高级
Reset to defaults	恢复默认设置
Accept autosuggestions	接受自动建议
Active Screen	当前屏幕
Add regex pattern	添加正则表达式
Add your own custom keybindings to existing actions below.	在下方为现有操作添加自定义快捷键。
Adjusts the default zoom level across all windows	调整所有窗口的默认缩放级别
After all tabs	所有标签页之后
After current tab	当前标签页之后
Always show tab bar	始终显示标签栏
Asynchronous find	异步查找
Automatically switch between light and dark themes when your system does.	跟随系统自动切换浅色和深色主题。
Blinking cursor	光标闪烁
Characters considered part of a word	视为单词组成部分的字符
Clear	清除
Click to set global hotkey	点击设置全局快捷键
Clipboard access (OSC 52)	剪贴板访问（OSC 52）
Columns	列
Compact mode	紧凑模式
Completions open as you type.	输入时自动打开补全。
Configure Global Hotkey	配置全局快捷键
Configure keyboard shortcuts	配置键盘快捷键
Copy on select	选中即复制
Create your own custom theme	创建自定义主题
Current theme	当前主题
Cursor type	光标类型
Custom secret redaction	自定义敏感信息遮盖
Customize your app icon	自定义应用图标
Dark	深色
Default (no color)	默认（无颜色）
Default mode for new sessions	新会话的默认模式
Default	默认
Denylisted commands	禁止的命令
Dim inactive panes	调暗非活动窗格
Double-click smart selection	双击智能选择
Edit code and commands with Vim keybindings	使用 Vim 快捷键编辑代码和命令
Enable Focus Reporting	启用焦点报告
Enable Mouse Reporting	启用鼠标报告
Enable Scroll Reporting	启用滚动报告
Enable slash commands in terminal mode	在终端模式中启用斜杠命令
Enforce minimum contrast	强制最低对比度
Error underlining for commands	为错误命令添加下划线
Expand aliases as you type	输入时展开别名
Focus follows mouse	焦点跟随鼠标
Font size (px)	字体大小（像素）
Font weight	字体粗细
Global search	全局搜索
Header toolbar layout	顶部工具栏布局
Help improve Warp	帮助改进 Warp
Hide search bar in vertical tab layout	在垂直标签布局中隐藏搜索栏
Hide tab bar if fullscreen	全屏时隐藏标签栏
Honor linux selection clipboard	使用 Linux 选择剪贴板
Input position	输入框位置
Install SSH extension	安装 SSH 扩展
Keys	按键
Left Option key is Meta	左 Option 键作为 Meta
Ligatures may reduce performance	连字可能降低性能
Light	浅色
Lines scrolled by mouse wheel interval	鼠标滚轮每次滚动的行数
Make Warp the default terminal	将 Warp 设为默认终端
Manage your data	管理你的数据
Match terminal	匹配终端
Maximum rows in a block	区块最大行数
Middle-click to paste	中键点击粘贴
Never	从不
New tab placement	新标签页位置
Only on hover	仅悬停时
Only show tab bar on hover	仅悬停时显示标签栏
Open completions menu as you type	输入时打开补全菜单
Open links in desktop app	尽可能在桌面应用中打开链接
Open new windows with custom size	以自定义大小打开新窗口
Panes	窗格
Pin Input to the Bottom	将输入框固定到底部
Pin Input to the Top	将输入框固定到顶部
Play notification sounds	播放通知声音
Preferred graphics backend	首选图形后端
Preserve active tab color for new tabs	新标签页沿用当前标签页颜色
Preserve input focus on block selection	选择区块时保留输入焦点
Privacy policy	隐私政策
Quit when all windows are closed	关闭所有窗口时退出
Read Warp's privacy policy	阅读 Warp 隐私政策
Receive desktop notifications from Warp	接收 Warp 桌面通知
Restore windows, tabs, and panes on startup	启动时恢复窗口、标签页和窗格
Right Option key is Meta	右 Option 键作为 Meta
Rows	行
Search for a keybinding	搜索快捷键
Secret redaction	敏感信息遮盖
Session	会话
Show block dividers	显示区块分隔线
Show changelog toast after updates	更新后显示变更日志提示
Show help block in new sessions	在新会话中显示帮助区块
Show ligatures in terminal	在终端中显示连字
Show sticky command header	显示置顶命令标题
Show tab indicators	显示标签页指示器
Show the tab bar	显示标签栏
Show tooltip on click on links	点击链接时显示工具提示
Start Warp at login	登录系统时启动 Warp
Suggest corrected commands	建议修正后的命令
Sync with OS	跟随系统
Syntax highlighting for commands	命令语法高亮
System	系统
Tab close button position	标签页关闭按钮位置
Tab key behavior	Tab 键行为
Tabs	标签页
Terminal Input	终端输入
Terminal font	终端字体
Text Editing	文本编辑
Themes	主题
Vertical tabs	垂直标签页
What's new	新增内容
Documentation	文档
Feedback	反馈
View Warp logs	查看 Warp 日志
Join our Slack community	加入我们的 Slack 社区
Upgrade	升级
Invite a friend	邀请好友
Share session...	共享会话…
Code review panel	代码审查面板
When windowed	窗口模式下
Right	右侧
Use vertical tab layout	使用垂直标签页布局
Show vertical tabs panel in restored windows	在恢复的窗口中显示垂直标签页面板
When enabled, reopening or restoring a window opens the vertical tabs panel even if it was closed when the window was last saved.	启用后，重新打开或恢复窗口时会显示垂直标签页面板，即使上次保存窗口时该面板已关闭。
When using the vertical tab layout, hide the search bar in the title bar. Search stays available via the command palette and keyboard shortcuts.	使用垂直标签页布局时隐藏标题栏中的搜索栏；仍可通过命令面板和键盘快捷键使用搜索。
Use latest user prompt as conversation title in tab names	在标签页名称中使用最新用户提示作为对话标题
Show the latest user prompt instead of the generated conversation title for Oz and third-party agent sessions in vertical tabs.	在垂直标签页中，为 Oz 和第三方智能体会话显示最新用户提示，而不是生成的对话标题。
Available items	可用项目
Restore default	恢复默认布局
Left side	左侧
Right side	右侧
Tools Panel	工具面板
Code Review	代码审查
Add directory color	添加目录颜色
Full-screen Apps	全屏应用
Use custom padding in alt-screen	在替代屏幕中使用自定义内边距
Icon	图标
Show Warp in Dock	在程序坞中显示 Warp
Window Opacity: 100	窗口不透明度：100
Window Blur Radius: 1	窗口模糊半径：1
Tools panel visibility is consistent across tabs	在各标签页间保持工具面板显示状态一致
Project explorer	项目资源管理器
Show warning before quitting/logging out	退出或注销前显示警告
Start Warp at login (requires macOS 13+)	登录系统时启动 Warp（需要 macOS 13+）
Setting the limit above 100k lines may impact performance. Maximum rows supported is 1 million.	将上限设为超过 10 万行可能影响性能；最多支持 100 万行。
Default shell for new sessions	新会话的默认 Shell
Working directory for new sessions	新会话的工作目录
Previous session's directory	上一次会话的目录
Enable reopening of closed sessions	允许重新打开已关闭的会话
Use ⌘ / to reference these keybindings in a side pane at anytime.	随时使用 ⌘ / 在侧边窗格中查看这些快捷键。
Command	命令
Search by name or by keys (ex. "cmd d")	按名称或按键搜索（例如“cmd d”）
Accept Autosuggestion	接受自动建议
Accept Prompt Suggestion	接受提示建议
Activate Next Pane	激活下一个窗格
Activate Next Tab	激活下一个标签页
Activate Previous Pane	激活上一个窗格
Activate Previous Tab	激活上一个标签页
Add Cursor Above	在上方添加光标
Add Cursor Below	在下方添加光标
Add Selection for Next Occurrence	将下一个匹配项加入选择
Attach Selected Block as Agent Context	将所选区块附加为智能体上下文
Attach Selected Text as Agent Context	将所选文本附加为智能体上下文
Configure whether Warp attempts to “Warpify” (add support for blocks, input modes, etc) certain shells.	配置 Warp 是否尝试对特定 Shell 进行“Warp 化”（增加区块、输入模式等支持）。
Subshells	子 Shell
Subshells supported: bash, zsh, and fish.	支持的子 Shell：bash、zsh 和 fish。
Added commands	新增命令
command (supports regex)	命令（支持正则表达式）
Warpify your interactive SSH sessions.	对交互式 SSH 会话进行 Warp 化。
Warpify SSH Sessions	Warp 化 SSH 会话
Reuse existing SSH ControlMaster	复用现有 SSH ControlMaster
Attach to a live SSH ControlMaster you already have configured for the destination host instead of creating a Warp-owned one. Takes effect in new tabs.	连接到已为目标主机配置且正在运行的 SSH ControlMaster，而不是创建 Warp 自己的实例；在新标签页中生效。
When this setting is enabled, Warp will scan terminal blocks for potential sensitive information and prevent saving or sending matching data. You can customize this list via regexes.	启用后，Warp 会扫描终端区块中的潜在敏感信息，并阻止保存或发送匹配数据；你可以使用正则表达式自定义列表。
Network log console	网络日志控制台
